都道府県名,市町村名,,"告示別表第10
で定める
地域の区分","年間の
日射
地域区分","暖房期の
日射
地域区分"
,,金沢市,6,3,3
,,かほく市,5,3,2
,,川北町,5,3,2
,ｺ,小松市,6,3,1
,ｼ,志賀町,5,3,2
,ｽ,珠洲市,5,3,2
,ﾂ,津幡町,5,3,2
,ﾅ,中能登町,5,3,2
,,七尾市,5,3,2
,ﾉ,能登町,5,3,2
,,野々市市,6,3,3
,,能美市,5,3,2
,ﾊ,羽咋市,5,3,2
,,白山市（旧松任市）,6,3,3
,,白山市（旧美川町）,5,3,3
,,白山市（旧鶴来町）,5,3,2
,,白山市（旧河内村）,4,3,3
,,白山市（旧吉野谷村、旧鳥越村、旧尾口村）,4,3,2
,,白山市（旧白峰村）,3,3,2
,ﾎ,宝達志水町,5,3,2
,ﾜ,輪島市,5,3,2
18.福井県,ｱ,あわら市,5,3,2
,ｲ,池田町,4,3,2
,ｴ,永平寺町,5,3,2
,,越前市,6,3,1
,,越前町,6,3,1
,ｵ,おおい町,6,3,1
,,大野市,5,3,2
,,小浜市,6,3,1
,ｶ,勝山市,5,3,2
,ｻ,坂井市,5,3,2
,,鯖江市,6,3,1
,ﾀ,高浜町,6,3,1
,ﾂ,敦賀市,6,3,2
,ﾌ,福井市,6,3,2
,ﾐ,南越前町,5,3,2
,,美浜町,6,3,2
,ﾜ,若狭町,5,3,1
19.山梨県,ｲ,市川三郷町（旧三珠町）,5,4,5
,,市川三郷町（旧市川大門町、旧六郷町）,5,4,4
,ｳ,上野原市,5,4,4
,ｵ,大月市,5,4,5
,,忍野村,3,4,5
,ｶ,甲斐市,5,5,4
,ｺ,甲州市（旧塩山市、旧勝沼町）,5,5,5
,,甲州市（旧大和村）,4,5,5
,,甲府市（旧甲府市）,6,5,4
,,甲府市（旧中道町）,5,4,5
,,甲府市（旧上九一色村）,4,5,4
,,小菅村,3,4,3
,ｼ,昭和町,6,4,4
,ﾀ,丹波山村,3,4,3
,ﾁ,中央市,5,4,4
,ﾂ,都留市,5,4,4
,ﾄ,道志村,4,4,5
,ﾅ,鳴沢村,3,4,4
,,南部町（旧南部町）,6,4,3
,,南部町（旧富沢町）,6,4,4
,ﾆ,西桂町,4,4,5
,,韮崎市,5,5,5
,ﾊ,早川町,5,4,4
,ﾌ,笛吹市（旧春日居町、旧石和町）,5,5,4
,,笛吹市（旧御坂町、旧一宮町、旧八代町、旧境川村）,5,5,5
,,笛吹市（旧芦川村）,3,5,4
,,富士河口湖町（旧上九一色村、旧勝山村、旧足和田村）,4,4,4
,,富士河口湖町（旧河口湖町）,4,4,5
,,富士川町,5,4,4
,,富士吉田市,4,4,5
,ﾎ,北杜市（旧明野村、旧大泉村、旧白州町）,4,5,5
,,北杜市（旧須玉町、旧高根町、旧長坂町）,4,5,4
,,北杜市（旧小淵沢町）,3,5,5
,,北杜市（旧武川村）,5,4,4
,ﾐ,南アルプス市（旧八田村、旧白根町、旧若草町、旧櫛形町、旧甲西町）,5,4,4
,,南アルプス市（旧芦安村）,5,4,5
,,身延町,5,4,4
,ﾔ,山中湖村,3,4,5
,,山梨市（旧山梨市、旧牧丘町）,5,5,4
,,山梨市（旧三富村）,5,5,3
20.長野県,ｱ,青木村,4,5,4
,,上松町,3,4,5
,,朝日村,3,5,5
,,阿智村（旧清内路村、旧浪合村）,4,4,5
,,阿智村（旧阿智村）,4,4,3
,,安曇野市,4,4,4
,,阿南町,4,4,3
,ｲ,飯島町,4,5,5
,,飯田市,5,4,4
,,飯綱町,3,4,4
,,飯山市,4,3,3
,,生坂村,3,4,4
,,池田町,4,4,4
,,伊那市,4,5,5
,ｳ,上田市（旧上田市、旧丸子町）,4,5,5
,,上田市（旧真田町、旧武石村）,3,5,5
,,売木村,3,4,3
,ｵ,王滝村,3,4,4
,,大桑村,4,4,4
,,大鹿村,4,5,5
,,大町市,3,4,4
,,岡谷市,3,5,5
,,小川村,3,4,3
,,小谷村,3,4,4
,,小布施町,4,4,4
,,麻績村,3,4,4
,ｶ,軽井沢町,2,4,5
,,川上村,2,5,5
,ｷ,木島平村,4,3,3
,,木曽町（旧木曽福島町）,3,5,5
,,木曽町（旧日義村、旧三岳村）,3,4,5
,,木曽町（旧開田村）,2,4,5
,,木祖村,2,5,5
,,北相木村,2,5,5
,ｺ,小海町,3,4,5
,,駒ヶ根市,4,5,5
,,小諸市,3,5,5
,ｻ,栄村,4,3,3
,,坂城町,4,4,4
,,佐久市,3,5,5
,,佐久穂町,3,4,5
,ｼ,塩尻市（旧塩尻市）,4,5,5
,,塩尻市（旧楢川村）,2,5,5
,,信濃町,3,3,3
,,下條村,4,4,5
,,下諏訪町,4,5,5
,ｽ,須坂市,4,4,4
,,諏訪市,4,5,5
,ﾀ,喬木村,5,4,4
,,高森町,4,4,4
,,高山村,3,4,4
,,辰野町,3,5,5
,,立科町,3,5,5
,ﾁ,筑北村,3,4,4
,,千曲市,4,4,4
,,茅野市,3,5,5
,ﾃ,天龍村,4,4,3
,ﾄ,東御市,4,5,5
,,豊丘村,4,4,4
,ﾅ,中川村,4,5,5
,,中野市（旧中野市）,4,3,4
,,中野市（旧豊田村）,4,3,3
,,長野市（旧長野市、旧大岡村、旧信州新町、旧豊野町、旧戸隠村、旧鬼無里村）,4,4,4
,,長野市（旧中条村）,4,4,3
,,長和町,3,5,5
,,南木曽町,4,4,3
,ﾈ,根羽村,4,4,3
,ﾉ,野沢温泉村,3,3,3
,ﾊ,白馬村,3,4,4
,,原村,3,5,5
,ﾋ,平谷村,3,4,4
,ﾌ,富士見町,3,5,5
,ﾏ,松川町,4,5,4
,,松川村,4,4,4
,,松本市（旧松本市、旧波田町、旧梓川村）,4,5,5
,,松本市（旧四賀村）,4,5,4
,,松本市（旧奈川村、旧安曇村）,4,4,5
,ﾐ,南相木村,2,5,5
,,南牧村,2,5,5
,,南箕輪村,4,5,5
,,箕輪町,4,5,5
,,宮田村,4,5,5
,,御代田町,3,5,5
,ﾔ,泰阜村,4,5,4
,,山形村,4,4,5
,,山ノ内町,3,4,4
21.岐阜県,ｱ,安八町,6,4,2
,ｲ,池田町,6,4,3
,,揖斐川町（旧揖斐川町、旧久瀬村、旧坂内村）,6,4,3
,,揖斐川町（旧谷汲村、旧春日村）,6,4,2
,,揖斐川町（旧藤橋村）,6,3,3
,ｴ,恵那市（旧恵那市、旧岩村町、旧山岡町、旧明智町）,5,4,4
,,恵那市（旧串原村、旧上矢作町）,5,4,3
,ｵ,大垣市（旧大垣市、旧墨俣町）,6,4,3
,,大垣市（旧上石津町）,5,3,2
,,大野町,6,4,3
,ｶ,海津市,6,4,3
,,各務原市,6,4,3
,,笠松町,6,4,3
,,可児市,6,4,3
,,川辺町,5,4,4
,ｷ,北方町,6,4,3
,,岐南町,6,4,3
,,岐阜市,6,4,3
,ｸ,郡上市（旧八幡町、旧大和町、旧明宝村、旧和良村）,4,4,3
,,郡上市（旧白鳥町）,4,3,3
,,郡上市（旧高鷲村）,3,4,3
,,郡上市（旧美並村）,5,4,4
,ｹ,下呂市（旧萩原町、旧下呂町）,4,4,3
,,下呂市（旧小坂町）,3,4,4
,,下呂市（旧金山町）,4,4,4
,,下呂市（旧馬瀬村）,3,4,3
,ｺ,神戸町,6,4,3
,ｻ,坂祝町,5,4,3
,ｼ,白川町,5,4,4
,,白川村,3,3,3
,ｾ,関ケ原町,5,3,2
,,関市,6,4,3
,ﾀ,高山市,4,3,3
,,多治見市,6,4,3
,,垂井町,6,4,3
,ﾄ,土岐市,5,4,4
,,富加町,5,4,3
,ﾅ,中津川市（旧山口村、旧加子母村）,4,4,4
,,中津川市（旧中津川市）,5,4,4
,,中津川市（旧坂下町、旧川上村、旧付知町、旧福岡町、旧蛭川村）,4,4,3
,ﾊ,羽島市,6,4,3
,ﾋ,東白川村,4,4,3
,,飛騨市（旧古川町、旧河合村、旧神岡町）,3,3,3
,,飛騨市（旧宮川村）,3,3,2
,,七宗町,5,4,4
,ﾐ,瑞浪市,5,4,4
,,瑞穂市,6,4,3
,,御嵩町,5,4,4
,,美濃加茂市,6,4,3
,,美濃市,5,4,3
,ﾓ,本巣市（旧本巣町）,6,4,4
,,本巣市（旧真正町、旧糸貫町）,6,4,3
,,本巣市（旧根尾村）,4,3,3
,ﾔ,八百津町,5,4,4
,,山県市（旧高富町、旧伊自良村）,6,4,2
,,山県市（旧美山町）,6,4,3
,ﾖ,養老町,6,4,2
,ﾜ,輪之内町,6,4,3
22.静岡県,ｱ,熱海市,6,4,4
,ｲ,伊豆市,6,3,3
,,伊豆の国市,6,3,3
,,伊東市,7,4,2
,,磐田市（旧磐田市、旧竜洋町、旧豊田町、旧豊岡村）,7,4,3
,,磐田市（旧福田町）,7,4,2
,ｵ,御前崎市（旧御前崎町）,7,5,2
,,御前崎市（旧浜岡町）,7,5,4
,,小山町,5,4,4
,ｶ,掛川市（旧掛川市）,6,4,4
,,掛川市（旧大須賀町、旧大東町）,6,4,3
,,河津町,7,4,4
,,川根本町（旧中川根町）,5,4,3
,,川根本町（旧本川根町）,5,4,4
,,函南町,6,4,3
,ｷ,菊川市,6,4,4
,ｺ,湖西市（旧湖西市）,6,4,4
,,湖西市（旧新居町）,6,4,3
,,御殿場市,5,3,4
,ｼ,静岡市（旧静岡市）,7,4,4
,,静岡市（旧清水市、旧蒲原町、旧由比町）,7,4,3
,,島田市,6,4,4
,,清水町,7,4,3
,,下田市,7,4,4
,ｽ,裾野市,6,4,4
,ﾅ,長泉町,6,4,4
,ﾆ,西伊豆町（旧西伊豆町）,6,4,4
,,西伊豆町（旧賀茂村）,6,4,3
,ﾇ,沼津市（旧沼津市）,7,4,2
,,沼津市（旧戸田村）,7,4,3
,ﾊ,浜松市,6,4,4
,ﾋ,東伊豆町,7,4,3
,ﾌ,袋井市,6,4,4
,,藤枝市,7,4,3
,,富士市（旧富士市）,7,4,4
,,富士市（旧富士川町）,7,4,3
,,富士宮市,6,4,4
,ﾏ,牧之原市,7,4,3
,,松崎町,7,4,4
,ﾐ,三島市,6,4,3
,,南伊豆町,7,4,4
,ﾓ,森町,6,4,4
,ﾔ,焼津市,7,4,3
,ﾖ,吉田町,7,4,3
23.愛知県,ｱ,愛西市,6,4,3
,,阿久比町,6,4,4
,,あま市,6,4,3
,,安城市,6,4,4
,ｲ,一宮市,6,4,3
,,稲沢市,6,4,3
,,犬山市,6,4,4
,,岩倉市,6,4,3
,ｵ,大口町,6,4,4
,,大治町,6,4,3
,,大府市,6,4,4
,,岡崎市,6,4,4
,,尾張旭市,6,4,4
,ｶ,春日井市,6,4,4
,,蟹江町,6,4,3
,,蒲郡市,6,4,4
,,刈谷市,6,4,4
,ｷ,北名古屋市,6,4,3
,,清須市,6,4,3
,ｺ,幸田町,6,4,4
,,江南市,6,4,3
,,小牧市,6,4,4
,ｼ,設楽町（旧設楽町）,5,4,4
,,設楽町（旧津具村）,4,4,4
,,新城市,6,4,4
,ｾ,瀬戸市,6,4,4
,ﾀ,高浜市,6,4,4
,,武豊町,6,4,4
,,田原市（旧田原町）,6,4,4
,,田原市（旧赤羽根町）,6,4,2
,,田原市（旧渥美町）,6,4,3
,ﾁ,知多市,6,4,3
,,知立市,6,4,4
,ﾂ,津島市,6,4,3
,ﾄ,東栄町,5,4,3
,,東海市,6,4,3
,,東郷町,6,4,4
,,常滑市,6,4,3
,,飛島村,6,4,3
,,豊明市,6,4,4
,,豊川市,6,4,4
,,豊田市（旧豊田市、旧藤岡町、旧小原村、旧足助町、旧下山村、旧旭町）,6,4,3
,,豊田市（旧稲武町）,4,4,3
,,豊根村,4,4,4
,,豊橋市,7,4,3
,,豊山町,6,4,4
,ﾅ,長久手市,6,4,4
,,名古屋市,6,4,4
,ﾆ,西尾市（旧西尾市、旧吉良町、旧幡豆町）,6,4,4
,,西尾市（旧一色町）,6,4,2
,,日進市,6,4,4
,ﾊ,半田市,6,4,4
,ﾋ,東浦町,6,4,4
,ﾌ,扶桑町,6,4,3
,ﾍ,碧南市,6,4,4
,ﾐ,南知多町,6,4,4
,,美浜町,6,4,4
,,みよし市,6,4,4
,ﾔ,弥富市,6,4,3
24.三重県,ｱ,朝日町,6,4,3
,ｲ,伊賀市,5,3,3
,,伊勢市,6,4,3
,,いなべ市（旧北勢町、旧藤原町）,5,3,4
,,いなべ市（旧員弁町）,6,4,3
,,いなべ市（旧大安町）,6,3,4
,ｵ,大台町（旧大台町）,6,3,3
,,大台町（旧宮川村）,6,3,4
,,尾鷲市,6,4,4
,ｶ,亀山市（旧亀山市）,6,4,4
,,亀山市（旧関町）,6,4,3
,,川越町,6,4,3
,ｷ,木曽岬町,6,4,3
,,紀宝町,7,4,4
,,紀北町（旧紀伊長島町）,6,4,3
,,紀北町（旧海山町）,6,4,4
,ｸ,熊野市,7,4,4
,,桑名市,6,4,3
,ｺ,菰野町,6,3,4
,ｼ,志摩市（旧浜島町）,6,4,2
,,志摩市（旧大王町、旧志摩町、旧阿児町、旧磯部町）,6,4,3
,ｽ,鈴鹿市,6,4,4
,ﾀ,大紀町（旧大宮町、旧紀勢町）,6,4,3
,,大紀町（旧大内山村）,6,4,4
,,多気町,6,4,3
,,玉城町,6,4,3
,ﾂ,津市（旧津市、旧久居市、旧河芸町、旧安濃町、旧香良洲町、旧一志町）,6,4,3
,,津市（旧芸濃町、旧美里村）,6,4,4
,,津市（旧白山町）,6,3,4
,,津市（旧美杉村）,5,3,3
,ﾄ,東員町,6,4,3
,,鳥羽市,6,4,3
,ﾅ,名張市,5,3,3
,ﾏ,松阪市（旧松阪市、旧嬉野町、旧三雲町、旧飯高町）,6,4,3
,,松阪市（旧飯南町）,6,4,2
,ﾐ,南伊勢町,6,4,3
,,御浜町,7,4,4
,ﾒ,明和町,6,4,3
,ﾖ,四日市市,6,4,3
,ﾜ,度会町,6,4,3
25.滋賀県,ｱ,愛荘町,5,4,3
,ｵ,近江八幡市,6,4,2
,,大津市（旧大津市）,5,4,3
,,大津市（旧志賀町）,5,4,2
,ｸ,草津市,6,4,2
,ｺ,甲賀市,5,3,3
,,甲良町,5,3,2
,,湖南市,5,3,3
,ﾀ,高島市,5,3,2
,,多賀町,5,3,2
,ﾄ,豊郷町,5,4,2
,ﾅ,長浜市（旧長浜市、旧浅井町、旧虎姫町、旧湖北町、旧びわ町、旧高月町、旧木之本町、旧余呉町）,5,4,3
,,長浜市（旧西浅井町）,5,4,2
,ﾋ,東近江市（旧八日市市、旧蒲生町、旧永源寺町、旧五個荘町、旧愛東町、旧湖東町）,5,3,3
,,東近江市（旧能登川町）,5,3,2
,,彦根市,5,4,2
,,日野町,5,3,3
,ﾏ,米原市（旧山東町、旧米原町、旧近江町）,5,4,2
,,米原市（旧伊吹町）,5,4,3
,ﾓ,守山市,6,4,2
,ﾔ,野洲市,5,4,2
,ﾘ,栗東市,5,4,2
,,竜王町,5,3,3
26.京都府,ｱ,綾部市,5,3,2
,ｲ,井手町,6,4,2
,,伊根町,6,3,1
,ｳ,宇治市,6,4,3
,,宇治田原町,5,4,2
,ｵ,大山崎町,6,4,2
,ｶ,笠置町,5,4,3
,,亀岡市,5,3,2
,ｷ,木津川市,6,4,2
,,京田辺市,6,4,2
,,京丹後市,5,3,1
,,京丹波町,5,3,2
,,京都市,6,3,2
,ｸ,久御山町,6,4,3
,ｼ,城陽市,6,4,2
,ｾ,精華町,6,4,2
,ﾅ,長岡京市,6,4,2
,,南丹市（旧美山町）,5,3,2
,,南丹市（旧園部町、旧八木町、旧日吉町）,5,3,3
,ﾌ,福知山市,5,3,2
,ﾏ,舞鶴市,6,3,1
,ﾐ,南山城村,5,3,3
,,宮津市,5,3,1
,ﾑ,向日市,6,3,2
,ﾔ,八幡市,6,4,2
,ﾖ,与謝野町,5,3,1
,ﾜ,和束町,5,4,3
27.大阪府,ｲ,池田市,6,4,3
,,泉大津市,6,4,3
,,泉佐野市,6,4,3
,,和泉市,6,4,3
,,茨木市,6,4,3
,ｵ,大阪狭山市,6,4,3
,,大阪市,6,4,3
,ｶ,貝塚市,6,4,3
,,柏原市,6,4,3
,,交野市,6,4,3
,,門真市,6,4,3
,,河南町,6,4,2
,,河内長野市,6,4,3
,ｷ,岸和田市,6,4,3
,ｸ,熊取町,6,4,3
,ｻ,堺市（旧堺市）,6,4,3
,,堺市（旧美原町）,6,4,2
,ｼ,四條畷市,6,4,4
,,島本町,6,4,2
,ｽ,吹田市,6,4,3
,ｾ,摂津市,6,4,3
,,泉南市,6,4,3
,ﾀ,太子町,6,4,2
,,大東市,6,4,2
,,高石市,6,4,3
,,高槻市,6,4,2
,,田尻町,6,4,3
,,忠岡町,6,4,3
,ﾁ,千早赤阪村,6,4,2
,ﾄ,豊中市,6,4,3
,,豊能町,5,4,2
,,富田林市,6,4,2
,ﾈ,寝屋川市,6,4,3
,ﾉ,能勢町,5,3,3
,ﾊ,羽曳野市,6,4,2
,,阪南市,6,4,2
,ﾋ,東大阪市,6,4,2
,,枚方市,6,4,3
,ﾌ,藤井寺市,6,4,2
,ﾏ,松原市,6,4,2
,ﾐ,岬町,7,4,2
,,箕面市,6,4,3
,ﾓ,守口市,6,4,3
,ﾔ,八尾市,6,4,2
28.兵庫県,ｱ,相生市,6,4,3
,,明石市,6,4,2
,,赤穂市,6,4,4
,,朝来市,5,3,2
,,芦屋市,6,4,3
,,尼崎市,6,4,3
,,淡路市,6,4,3
,ｲ,伊丹市,6,4,3
,,市川町,5,4,2
,,猪名川町,5,3,3
,,稲美町,6,4,3
,ｵ,小野市,6,4,4
,ｶ,加古川市,6,4,4
,,加西市,5,4,4
,,加東市（旧社町、旧東条町）,5,4,3
,,加東市（旧滝野町）,5,4,2
,,神河町（旧神崎町）,5,3,2
,,神河町（旧大河内町）,5,3,3
,,上郡町,5,4,3
,,香美町（旧香住町）,6,3,2
,,香美町（旧村岡町、旧美方町）,4,3,1
,,川西市,6,4,3
,ｺ,神戸市,6,4,3
,ｻ,佐用町,5,4,3
,,三田市,5,4,3
,ｼ,宍粟市（旧山崎町）,5,4,3
,,宍粟市（旧一宮町、旧波賀町、旧千種町）,5,3,3
,,新温泉町（旧浜坂町）,6,3,1
,,新温泉町（旧温泉町）,5,3,2
,ｽ,洲本市,6,4,3
,ﾀ,太子町,6,4,4
,,高砂市,6,4,3
,,多可町,5,3,2
,,宝塚市,6,4,3
,,たつの市（旧龍野市、旧新宮町）,6,4,3
,,たつの市（旧揖保川町、旧御津町）,6,4,4
,,篠山市,5,3,3
,,丹波市,5,3,2
,ﾄ,豊岡市,5,3,2
,ﾆ,西宮市,6,4,3
,,西脇市,5,3,2
,ﾊ,播磨町,6,4,3
,ﾋ,姫路市（旧姫路市、旧夢前町、旧安富町）,6,4,3
,,姫路市（旧家島町、旧香寺町）,6,4,2
,ﾌ,福崎町,6,4,2
,ﾐ,三木市（旧三木市）,6,4,4
,,三木市（旧吉川町）,6,4,3
,,南あわじ市,6,4,3
,ﾔ,養父市,5,3,2
29.奈良県,ｱ,明日香村,6,3,2
,,安堵町,6,4,2
,ｲ,斑鳩町,6,4,2
,,生駒市,5,4,2
,ｳ,宇陀市,5,4,3
,ｵ,王寺町,6,4,2
,,大淀町,5,3,3
,ｶ,香芝市,6,4,2
,,橿原市,6,4,2
,,葛城市,6,4,2
,,上北山村,5,3,3
,,河合町,6,4,2
,,川上村,4,3,3
,,川西町,6,4,2
,,上牧町,6,4,2
,ｸ,黒滝村,4,3,3
,ｺ,広陵町,6,4,2
,,五條市（旧五條市、旧西吉野村）,6,3,2
,,五條市（旧大塔村）,4,3,2
,,御所市,6,4,2
,ｻ,桜井市,6,3,2
,,三郷町,6,4,2
,ｼ,下市町,5,3,3
,,下北山村,5,3,2
,ｿ,曽爾村,4,3,4
,ﾀ,高取町,6,4,2
,,田原本町,6,4,2
,ﾃ,天川村,4,3,3
,,天理市,6,4,2
,ﾄ,十津川村,5,3,3
,ﾅ,奈良市（旧奈良市、旧月ケ瀬村）,6,4,2
,,奈良市（旧都祁村）,4,4,2
,ﾉ,野迫川村,3,3,2
,ﾋ,東吉野村,5,3,3
,ﾍ,平群町,5,4,2
,ﾐ,御杖村,4,3,4
,,三宅町,6,4,2
,ﾔ,山添村,5,4,3
,,大和郡山市,6,4,2
,,大和高田市,6,4,2
,ﾖ,吉野町,5,3,3
30.和歌山県,ｱ,有田川町,6,4,3
,,有田市,6,4,3
,ｲ,印南町,7,4,3
,,岩出市,6,4,3
,ｶ,海南市,6,4,3
,,かつらぎ町（旧かつらぎ町）,6,4,2
,,かつらぎ町（旧花園村）,5,4,2
,,上富田町,6,4,3
,ｷ,北山村,6,4,4
,,紀の川市（旧打田町、旧粉河町、旧那賀町、旧桃山町）,6,4,3
,,紀の川市（旧貴志川町）,6,4,2
,,紀美野町（旧野上町）,6,4,3
,,紀美野町（旧美里町）,6,4,4
,ｸ,串本町（旧串本町）,7,5,2
,,串本町（旧古座町）,7,5,4
,,九度山町,6,3,3
,ｺ,高野町,4,4,2
,,古座川町,7,4,4
,,御坊市,7,4,3
,ｼ,白浜町,7,4,4
,,新宮市,7,4,4
,ｽ,すさみ町,7,4,4
,ﾀ,太地町,7,4,4
,,田辺市（旧田辺市）,7,4,3
,,田辺市（旧龍神村）,5,4,3
,,田辺市（旧中辺路町、旧大塔村）,7,4,4
,,田辺市（旧本宮町）,6,4,3
,ﾅ,那智勝浦町,7,4,4
,ﾊ,橋本市,6,3,2
,ﾋ,日高川町（旧川辺町、旧中津村）,6,4,3
,,日高川町（旧美山村）,5,4,4
,,日高町,6,4,3
,,広川町,6,4,4
,ﾐ,みなべ町（旧南部川村）,7,4,3
,,みなべ町（旧南部町）,7,4,2
,,美浜町,7,4,2
,ﾕ,湯浅町,6,4,3
,,由良町,6,4,3
,ﾜ,和歌山市,7,4,2
31.鳥取県,ｲ,岩美町,6,3,1
,ｸ,倉吉市,5,3,2
,ｺ,江府町,5,3,2
,,琴浦町,6,3,3
,ｻ,境港市,6,3,1
,ﾀ,大山町,6,3,3
,ﾁ,智頭町,5,3,2
,ﾄ,鳥取市（旧鳥取市、旧福部村、旧気高町、旧青谷町）,6,3,2
,,鳥取市（旧国府町、旧河原町、旧用瀬町、旧佐治村、旧鹿野町）,6,3,1
,ﾅ,南部町,5,3,2
,ﾆ,日南町,4,3,3
,ﾋ,日吉津村,6,3,2
,,日野町,4,3,2
,ﾎ,伯耆町,6,3,2
,,北栄町,6,3,3
,ﾐ,三朝町,5,3,2
,ﾔ,八頭町,5,3,2
,ﾕ,湯梨浜町（旧羽合町、旧東郷町）,6,3,3
,,湯梨浜町（旧泊村）,6,3,2
,ﾖ,米子市（旧米子市）,6,3,2
,,米子市（旧淀江町）,6,3,3
,ﾜ,若桜町,4,3,2
32.島根県,ｱ,海士町,6,3,2
,ｲ,飯南町,4,3,2
,,出雲市（旧出雲市、旧斐川町）,6,3,2
,,出雲市（旧平田市、旧佐田町、旧多伎町、旧湖陵町、旧大社町）,6,3,1
,ｳ,雲南市,5,3,2
,ｵ,大田市（旧大田市）,6,3,2
,,大田市（旧温泉津町、旧仁摩町）,6,3,1
,,邑南町（旧羽須美村、旧瑞穂町）,5,3,2
,,邑南町（旧石見町）,5,3,3
,,隠岐の島町（旧西郷町、旧五箇村）,6,3,2
,,隠岐の島町（旧布施村）,6,3,3
,,隠岐の島町（旧都万村）,6,3,1
,,奥出雲町（旧仁多町）,5,3,2
,,奥出雲町（旧横田町）,5,3,3
,ｶ,川本町,5,3,2
,ｺ,江津市（旧江津市）,6,3,2
,,江津市（旧桜江町）,6,3,1
,ﾁ,知夫村,6,3,1
,ﾂ,津和野町,5,3,2
,ﾆ,西ノ島町,6,3,1
,ﾊ,浜田市（旧浜田市）,6,3,2
,,浜田市（旧金城町、旧弥栄村）,6,3,1
,,浜田市（旧旭町、旧三隅町）,6,3,3
,ﾏ,益田市（旧益田市）,6,4,2
,,益田市（旧美都町、旧匹見町）,5,3,3
,,松江市（旧松江市、旧鹿島町、旧宍道町）,6,3,2
,,松江市（旧島根町、旧美保関町、旧東出雲町、旧八雲村、旧玉湯町、旧八束町）,6,3,1
,ﾐ,美郷町,5,3,2
,ﾔ,安来市,6,3,1
,ﾖ,吉賀町,4,3,3
33.岡山県,ｱ,赤磐市（旧山陽町）,6,4,2
,,赤磐市（旧赤坂町、旧熊山町、旧吉井町）,6,4,3
,,浅口市,6,4,3
,ｲ,井原市（旧井原市、旧美星町）,6,4,2
,,井原市（旧芳井町）,6,4,3
,ｵ,岡山市（旧岡山市、旧灘崎町）,6,4,3
,,岡山市（旧御津町、旧建部町、旧瀬戸町）,6,4,2
,ｶ,鏡野町（旧富村、旧奥津町、旧上齋原村）,5,3,2
,,鏡野町（旧鏡野町）,5,3,3
,,笠岡市,6,4,3
,ｷ,吉備中央町,4,4,2
,ｸ,久米南町,5,4,3
,,倉敷市,6,4,3
,ｻ,里庄町,6,4,3
,ｼ,勝央町,5,4,3
,,新庄村,4,3,2
,ｾ,瀬戸内市,6,4,3
,ｿ,総社市,6,4,3
,ﾀ,高梁市,5,4,3
,,玉野市,6,4,2
,ﾂ,津山市（旧津山市、旧加茂町、旧勝北町、旧久米町）,5,3,3
,,津山市（旧阿波村）,4,3,2
,ﾅ,奈義町,5,3,3
,ﾆ,新見市（旧新見市、旧神郷町、旧哲多町、旧哲西町）,5,3,3
,,新見市（旧大佐町）,5,3,2
,,西粟倉村,4,3,3
,ﾊ,早島町,6,4,3
,ﾋ,備前市,5,4,3
,ﾏ,真庭市（旧北房町、旧勝山町）,5,3,2
,,真庭市（旧落合町、旧久世町）,5,3,3
,,真庭市（旧湯原町、旧美甘村、旧川上村、旧八束村、旧中和村）,4,3,2
,ﾐ,美咲町,5,4,3
,,美作市,5,4,3
,ﾔ,矢掛町,6,4,3
,ﾜ,和気町,5,4,3
34.広島県,ｱ,安芸太田町,4,3,3
,,安芸高田市（旧吉田町、旧甲田町、旧向原町）,5,4,3
,,安芸高田市（旧八千代町、旧美土里町、旧高宮町）,5,4,2
,ｴ,江田島市,6,4,3
,ｵ,大崎上島町,6,4,3
,,大竹市,6,4,4
,,尾道市（旧尾道市、旧因島市、旧御調町、旧向島町）,6,4,3
,,尾道市（旧瀬戸田町）,6,4,2
,ｶ,海田町,6,4,3
,ｷ,北広島町（旧芸北町、旧大朝町、旧豊平町）,5,4,3
,,北広島町（旧千代田町）,5,4,2
,ｸ,熊野町,5,4,4
,,呉市（旧呉市、旧音戸町、旧蒲刈町、旧安浦町、旧川尻町）,6,4,3
,,呉市（旧倉橋町、旧下蒲刈町、旧豊浜町、旧豊町）,6,4,2
,ｻ,坂町,6,4,3
,ｼ,庄原市（旧庄原市）,5,3,3
,,庄原市（旧総領町）,4,4,3
,,庄原市（旧西城町、旧東城町、旧比和町）,4,3,3
,,庄原市（旧口和町、旧高野町）,4,3,2
,,神石高原町（旧油木町、旧神石町、旧豊松村）,4,4,3
,,神石高原町（旧三和町）,4,4,2
,ｾ,世羅町（旧甲山町、旧世羅町）,4,4,2
,,世羅町（旧世羅西町）,4,4,4
,ﾀ,竹原市,6,4,4
,ﾊ,廿日市市（旧廿日市市、旧宮島町）,6,4,3
,,廿日市市（旧大野町）,6,4,4
,,廿日市市（旧佐伯町）,5,4,2
,,廿日市市（旧吉和村）,3,4,3
,ﾋ,東広島市（旧東広島市、旧福富町）,5,4,3
,,東広島市（旧黒瀬町、旧豊栄町、旧河内町、旧安芸津町）,5,4,4
,,広島市,6,4,3
,ﾌ,福山市（旧福山市、旧内海町、旧沼隈町、旧新市町）,6,4,3
,,福山市（旧神辺町）,6,4,2
,,府中市,5,4,3
,,府中町,6,4,3
,ﾐ,三原市（旧三原市、旧大和町、旧久井町）,6,4,3
,,三原市（旧本郷町）,6,4,4
